keyphrase,label
spy balloon,0
spy balloon tracker,0
regent seaglider,0
where is the spy balloon now,0
spie balloon,0
xi spy balloon,0
nc balloon,0
dod balloon,0
myrtle beach balloon,0
sc balloon,0
spy balloon meme,0
sky tops,0
apy balloon,0
pooh balloon,0
purple honey,0
sc spy balloon,0
hyperbees,0
balloon,0
myrtle beach spy balloon,0
path of chinese balloon,1
balloon china,1
wral chinese balloon,1
where is the chinese balloon now,1
video of chinese balloon,1
update on chinese balloon,1
is there a second chinese balloon,1
yuanxiao,1
el globo chino,1
jinping balloon,1
a balloon from china,1
tik tok china,1
spyball china,1
size of chinese balloon,1
xi jinping balloon,1
latest on chinese balloon,1
china balloon,1
what is the chinese balloon,1
cnn balloon,1
are we going to war with china,1
vani jayaram,2
vaathi audio launch,2
kadhal kanave,2
svt play,2
manju bhargavi,2
kovai sarala,2
sumi somaskanda,2
vani jayaram death,2
spying balloon shot down,3
shot down,3
balloon shot down,3
balloon shot down video,3
shooting down balloon,3
sc balloon shot down,3
chinese balloon shot down,3
shot down balloon,3
soy balloon shot down,3
where is the balloon now,3
spyballon shot down,3
blimp shot down,3
fun delivered,3
was the balloon shot down,3
video of balloon shootdown,3
b complex shot,3
spy balloon shot down,3
shot down spy balloon,3
psl exhibition match,4
rennes vs losc,4
rennes vs lille,4
judgement of paris,4
psg vs toulouse,4
toulouse vs psg,4
arema vs psm,4
doucoure everton,5
arsenal everton,5
arsenal vs everton,5
everton vs arsenal,5
exeter city,5
sounders club world cup,6
seattle sounders,6
fc sounders,6
sioux falls stampede,6
sounders,6
lfc vs wolves,7
luton town vs stoke city,7
leyton orient vs afc wimbledon,7
lemina wolves,7
wolves vs liverpool,7
liverpool vs wolves,7
wolves liverpool,7
viking wolf,7
altrincham vs wrexham,7
cruz azul vs tigres uanl,8
u vs cantolao,8
laguna roja,8
pachuca vs leon,8
cruz azul vs tigres,8
tigres vs cruz azul,8
wydad vs ahly,9
ahly vs real madrid,9
ahly seattle,9
